date,id,charter_type,name_legal,name,org_type,fed_district_code,city,country,state,fed_regulator2,lei,parent_id
20171231.0,458665.0,200.0,"FIRST NATIONAL BANK OF STANTON, THE",FIRST NB,1.0,11.0,STANTON,UNITED STATES,TX,OCC,0,458665.0
20171231.0,458946.0,200.0,BANK OF CASHTON,BANK OF CASHTON,1.0,7.0,CASHTON,UNITED STATES,WI,FDIC,0,3045815.0
20171231.0,459130.0,200.0,GULF COAST BANK,GULF COAST BK,1.0,6.0,ABBEVILLE,UNITED STATES,LA,FDIC,0,1085929.0
20171231.0,459354.0,200.0,"CENTRAL NATIONAL BANK OF POTEAU, THE",CENTRAL NB OF POTEAU,1.0,10.0,POTEAU,UNITED STATES,OK,OCC,5493004MTRF0ZV6FX998,1067411.0
20171231.0,459372.0,300.0,UNITED SAVINGS BANK,UNITED SVG BK,6.0,3.0,PHILADELPHIA,UNITED STATES,PA,FDIC,0,459372.0
20171231.0,459644.0,200.0,FIRST COMMUNITY BANK OF MOULTRIE COUNTY,FIRST CMNTY BK OF MOULTRIE CTY,1.0,7.0,SULLIVAN,UNITED STATES,IL,FDIC,0,1363887.0
20171231.0,459671.0,300.0,MANASQUAN BANK,MANASQUAN BK,1.0,2.0,WALL TOWNSHIP,UNITED STATES,NJ,FDIC,0,2589714.0
20171231.0,460033.0,200.0,COMMUNITY BANK OF MISSISSIPPI,COMMUNITY BK OF MS,1.0,6.0,FOREST,UNITED STATES,MS,FDIC,0,1080595.0
20171231.0,460275.0,310.0,SECOND FEDERAL SAVINGS & LOAN ASSOCIATION OF PHILADELPHIA,SECOND FS&LA OF PHILA,6.0,3.0,PHILADELPHIA,UNITED STATES,PA,OCC,0,460275.0
20171231.0,460332.0,200.0,MUNICIPAL TRUST AND SAVINGS BANK,MUNICIPAL T&SB,1.0,7.0,BOURBONNAIS,UNITED STATES,IL,FDIC,0,460332.0
