date,id_call,charter_type_call,name_legal_call,name_call,org_type_call,fed_district_code_call,city_call,country_call,state_call,fed_regulator2_call,lei_call,parent_id_call,common_id,id,fed_district_code,NONINTEREST-BEARING DEPOSITS (BHC CONSOL. FOREIGN OFC.),INTEREST-BEARING DEPOSITS (BHC CONSOL. U.S. OFC),charter_type,city,country,parent_id,lei,name_legal,name,org_type,fed_regulator,state
20171231.0,934329.0,200.0,"BNY MELLON, NATIONAL ASSOCIATION",BNY MELLON NA,1.0,4.0,PITTSBURGH,UNITED STATES,PA,OCC,0,3587146.0,3587146.0,3587146,2,77296000.0,52294000.0,500,NEW YORK,UNITED STATES,0,WFLLPEPC7FZXENRZV188,"BANK OF NEW YORK MELLON CORPORATION, THE",BANK OF NY MELLON CORP,1,FRS,NY
20171231.0,978819.0,400.0,MELLON OVERSEAS INVESTMENT CORPORATION,MELLON OVERSEAS INV CORP,1.0,4.0,NEW YORK,UNITED STATES,NY,FRS,0,3587146.0,3587146.0,3587146,2,77296000.0,52294000.0,500,NEW YORK,UNITED STATES,0,WFLLPEPC7FZXENRZV188,"BANK OF NEW YORK MELLON CORPORATION, THE",BANK OF NY MELLON CORP,1,FRS,NY
20171231.0,399517.0,200.0,CNB BANK,CNB BK,1.0,3.0,CLEARFIELD,UNITED STATES,PA,FDIC,549300NBFK4GO76FTE84,1118340.0,1118340.0,1118340,3,321858.0,1845957.0,500,CLEARFIELD,UNITED STATES,0,0,CNB FINANCIAL CORPORATION,CNB FC,1,FRS,PA
20171231.0,403151.0,200.0,CORNERSTONE BANK,CORNERSTONE BK,1.0,10.0,YORK,UNITED STATES,NE,FRS,549300MNVXT92RBYBF93,1050646.0,1050646.0,1050646,10,279221,1110581,500,YORK,UNITED STATES,1050646,0,FIRST YORK BAN CORP.,FIRST YORK BC,1,FRS,NE
20171231.0,403179.0,300.0,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF PORT ANGELES,FIRST FS&LA,1.0,12.0,PORT ANGELES,UNITED STATES,WA,FDIC,549300XW2H531FLD3I90,4438366.0,4438366.0,4438366,12,156365.0,730741.0,500,PORT ANGELES,UNITED STATES,0,549300YDR3VSTKB9DQ65,FIRST NORTHWEST BANCORP,FIRST NORTHWEST BC,1,FRS,WA
20171231.0,407506.0,300.0,ION BANK,ION BK,1.0,1.0,NAUGATUCK,UNITED STATES,CT,FDIC,5493004D0Z2WQR26VL57,3912766.0,3912766.0,3912766,1,246472.0,778470.0,500,NAUGATUCK,UNITED STATES,0,0,ION FINANCIAL MHC,ION FNCL MHC,6,FRS,CT
20171231.0,411473.0,300.0,"SEVERN SAVINGS BANK, FSB",SEVERN SVGS BK FSB,1.0,5.0,ANNAPOLIS,UNITED STATES,MD,OCC,549300BSREUOP0WE2207,3831465.0,3831465.0,3831465,5,74101.0,528222.0,500,ANNAPOLIS,UNITED STATES,0,0,"SEVERN BANCORP, INC.",SEVERN BC,1,FRS,MD
20171231.0,412751.0,200.0,WOODFOREST NATIONAL BANK,WOODFOREST NB,1.0,11.0,THE WOODLANDS,UNITED STATES,TX,OCC,549300RX3OHHKBC2EQ32,1137770.0,1137770.0,1137770,11,242438.0,4621360.0,500,THE WOODLANDS,UNITED STATES,0,549300PK7P99LXNJNK46,"WOODFOREST FINANCIAL GROUP, INC.",WOODFOREST FNCL GRP,1,FRS,TX
20171231.0,413141.0,200.0,FIRST NATIONAL BANK OF AMERICA,FIRST NB AMER,1.0,7.0,EAST LANSING,UNITED STATES,MI,OCC,254900WTZC5SSKIN2M11,1206313.0,1206313.0,1206313,7,57702.0,935443.0,500,EAST LANSING,UNITED STATES,0,0,"FIRST NATIONAL BANCSHARES, INC.",FIRST NAT BSHRS,1,FRS,MI
20171231.0,413208.0,200.0,"HSBC BANK USA, NATIONAL ASSOCIATION",HSBC BK USA NA,1.0,2.0,MC LEAN,UNITED STATES,VA,OCC,1IE8VN30JCEQV1H4R804,3232316.0,3232316.0,3232316,7,27830702.0,79859686.0,500,NEW YORK,UNITED STATES,0,213800JCL1FHBQK3M654,HSBC NORTH AMERICA HOLDINGS INC.,HSBC N AMER HOLDS,1,FRS,NY
